what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jpt.jpa.core,3.6.0.v202002052252,"org.eclipse.jpt.jpa.core",1589754175987
started,bundle,org.eclipse.jpt.jpa.db,2.2.201.v201902121834,"org.eclipse.jpt.jpa.db",1589754176108
started,bundle,org.eclipse.datatools.connectivity,1.14.102.201911250848,"org.eclipse.datatools.connectivity",1589754176111
started,bundle,org.eclipse.cft.server.ui,1.0.110.v201805291812,"org.eclipse.cft.server.ui",1589754176280
started,bundle,org.eclipse.cft.server.standalone.ui,1.0.4.v201805291812,"org.eclipse.cft.server.standalone.ui",1589754176281
started,bundle,org.eclipse.compare,3.7.900.v20200129-0902,"org.eclipse.compare",1589754176355
started,bundle,org.eclipse.debug.ui,3.14.400.v20200222-1431,"org.eclipse.debug.ui",1589754176411
started,bundle,org.eclipse.wst.jsdt.chromium.debug.ui,0.6.200.v201903222101,"org.eclipse.wst.jsdt.chromium.debug.ui",1589754176417
started,bundle,org.eclipse.tm.terminal.connector.local,4.6.0.202002152032,"org.eclipse.tm.terminal.connector.local",1589754176480
started,bundle,org.eclipse.tm.terminal.control,4.6.0.202002152037,"org.eclipse.tm.terminal.control",1589754176481
started,bundle,org.eclipse.wst.common.core,1.3.0.v201903222010,"org.eclipse.wst.common.core",1589754176736
started,bundle,org.eclipse.lsp4e.debug,0.12.0.202003021135,"org.eclipse.lsp4e.debug",1589754176807
started,bundle,org.eclipse.wst.jsdt.chromium.debug.core,0.5.300.v201903222101,"org.eclipse.wst.jsdt.chromium.debug.core",1589754176907
deactivated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1589754181154
started,bundle,org.eclipse.wst.server.core,1.10.100.v201910252115,"org.eclipse.wst.server.core",1589754181191
started,bundle,org.eclipse.wst.server.ui,1.5.600.v201910252115,"org.eclipse.wst.server.ui",1589754181204
started,bundle,org.eclipse.jem.util,2.1.201.v201903222010,"org.eclipse.jem.util",1589754196830
started,bundle,org.eclipse.wst.common.emf,1.2.600.v201903222010,"org.eclipse.wst.common.emf",1589754196855
started,bundle,org.eclipse.jst.j2ee.core,1.4.1.v201903222024,"org.eclipse.jst.j2ee.core",1589754196856
activated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1589754196982
deactivated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1589754197332
opened,editor,org.eclipse.jdt.ui,3.21.0.v20200226-1531,"org.eclipse.jdt.ui.CompilationUnitEditor",1589754197737
started,bundle,org.eclipse.wst.common.frameworks,1.2.201.v201903222010,"org.eclipse.wst.common.frameworks",1589754198093
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.101.v201903222010,"org.eclipse.wst.common.emfworkbench.integration",1589754198111
started,bundle,org.eclipse.wst.common.modulecore,1.3.100.v201903222010,"org.eclipse.wst.common.modulecore",1589754198150
activated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1589754198225
started,bundle,org.eclipse.cft.server.standalone.core,1.0.4.v201805291812,"org.eclipse.cft.server.standalone.core",1589754198261
started,bundle,org.eclipse.jdt.debug,3.15.0.v20200224-0604,"org.eclipse.jdt.debug",1589754198422
started,bundle,org.eclipse.jdt.debug.ui,3.10.600.v20200220-2022,"org.eclipse.jdt.debug.ui",1589754198512
activated,editor,org.eclipse.jdt.ui,3.21.0.v20200226-1531,"org.eclipse.jdt.ui.CompilationUnitEditor",1589754198570
started,bundle,org.eclipse.cft.server.core,1.2.3.v201805291812,"org.eclipse.cft.server.core",1589754199345
started,bundle,org.eclipse.pde.api.tools,1.1.1200.v20200211-2228,"org.eclipse.pde.api.tools",1589754217880
started,bundle,org.eclipse.pde.api.tools.ui,1.1.1100.v20200211-2228,"org.eclipse.pde.api.tools.ui",1589754217882
deactivated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1589754222748
activated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1589754223916
executed,command,org.eclipse.ui,3.116.0.v20200203-1308,"org.eclipse.ui.file.save",1589754230281
deactivated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1589754230877
activated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1589754265811
activated,view,org.eclipse.jdt.ui,3.21.0.v20200226-1531,"org.eclipse.jdt.ui.PackageExplorer",1589754268943
deactivated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1589754273063
activated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1589754297512
opened,editor,org.eclipse.jdt.ui,3.21.0.v20200226-1531,"org.eclipse.jdt.ui.CompilationUnitEditor",1589754297792
activated,editor,org.eclipse.jdt.ui,3.21.0.v20200226-1531,"org.eclipse.jdt.ui.CompilationUnitEditor",1589754298102
deactivated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1589754298556
activated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1589754301488
executed,command,org.eclipse.ui.workbench.texteditor,3.14.100.v20200212-1049,"org.eclipse.ui.edit.text.select.lineEnd",1589754304739
executed,command,org.eclipse.ui,3.116.0.v20200203-1308,"org.eclipse.ui.file.save",1589754335410
deactivated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1589754335940
activated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1589754337588
deactivated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1589754339060
activated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1589754372740
activated,view,org.eclipse.jdt.ui,3.21.0.v20200226-1531,"org.eclipse.jdt.ui.PackageExplorer",1589754384135
opened,editor,org.eclipse.jdt.ui,3.21.0.v20200226-1531,"org.eclipse.jdt.ui.CompilationUnitEditor",1589754384391
activated,editor,org.eclipse.jdt.ui,3.21.0.v20200226-1531,"org.eclipse.jdt.ui.CompilationUnitEditor",1589754384709
deactivated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1589754412634
activated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1589754413887
executed,command,org.eclipse.ui,3.116.0.v20200203-1308,"org.eclipse.ui.file.save",1589754421018
deactivated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1589754421552
activated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1589754438570
activated,view,org.eclipse.jdt.ui,3.21.0.v20200226-1531,"org.eclipse.jdt.ui.PackageExplorer",1589754441141
opened,editor,org.eclipse.jdt.ui,3.21.0.v20200226-1531,"org.eclipse.jdt.ui.CompilationUnitEditor",1589754446362
activated,editor,org.eclipse.jdt.ui,3.21.0.v20200226-1531,"org.eclipse.jdt.ui.CompilationUnitEditor",1589754446849
deactivated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1589754451267
activated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1589754451439
executed,command,org.eclipse.ui,3.116.0.v20200203-1308,"org.eclipse.ui.file.save",1589754453937
started,bundle,org.eclipse.emf.codegen.ui,2.21.0.v20191228-0640,"org.eclipse.emf.codegen.ui",1589754454110
started,bundle,org.eclipse.mylyn.java.tasks,3.24.2.v20180905-0014,"org.eclipse.mylyn.java.tasks",1589754454214
deactivated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1589754459899
activated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1589754461788
activated,editor,org.eclipse.jdt.ui,3.21.0.v20200226-1531,"org.eclipse.jdt.ui.CompilationUnitEditor",1589754461969
opened,editor,org.eclipse.jdt.ui,3.21.0.v20200226-1531,"org.eclipse.jdt.ui.CompilationUnitEditor",1589754462070
activated,editor,org.eclipse.jdt.ui,3.21.0.v20200226-1531,"org.eclipse.jdt.ui.CompilationUnitEditor",1589754462262
activated,editor,org.eclipse.jdt.ui,3.21.0.v20200226-1531,"org.eclipse.jdt.ui.CompilationUnitEditor",1589754462274
deactivated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1589754465891
activated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1589754466048
executed,command,org.eclipse.ui,3.116.0.v20200203-1308,"org.eclipse.ui.file.save",1589754467017
deactivated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1589754468765
activated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1589754470114
activated,editor,org.eclipse.jdt.ui,3.21.0.v20200226-1531,"org.eclipse.jdt.ui.CompilationUnitEditor",1589754470296
opened,editor,org.eclipse.jdt.ui,3.21.0.v20200226-1531,"org.eclipse.jdt.ui.CompilationUnitEditor",1589754470382
activated,editor,org.eclipse.jdt.ui,3.21.0.v20200226-1531,"org.eclipse.jdt.ui.CompilationUnitEditor",1589754470569
activated,editor,org.eclipse.jdt.ui,3.21.0.v20200226-1531,"org.eclipse.jdt.ui.CompilationUnitEditor",1589754470592
deactivated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1589754473597
activated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1589754473749
executed,command,org.eclipse.ui,3.116.0.v20200203-1308,"org.eclipse.ui.file.save",1589754474975
activated,view,org.eclipse.jdt.ui,3.21.0.v20200226-1531,"org.eclipse.jdt.ui.PackageExplorer",1589754481088
activated,editor,org.eclipse.jdt.ui,3.21.0.v20200226-1531,"org.eclipse.jdt.ui.CompilationUnitEditor",1589754481355
deactivated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1589754482758
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.1.400.v20200221-1022,"org.eclipse.equinox.p2.garbagecollector",1589754496912
activated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1589754538196
deactivated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1589754540435
activated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1589754541227
activated,editor,org.eclipse.jdt.ui,3.21.0.v20200226-1531,"org.eclipse.jdt.ui.CompilationUnitEditor",1589754544887
deactivated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1589754547886
activated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1589754548736
deactivated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1589754566860
activated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1589754567823
deactivated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1589754573946
activated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1589754619930
deactivated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1589754621080
activated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1589754623543
deactivated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1589754628093
activated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1589754629607
deactivated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1589754636248
activated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1589754637155
deactivated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1589754641046
activated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1589754641900
deactivated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1589754649265
activated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1589754650503
started,bundle,org.eclipse.mylyn.java.ui,3.24.2.v20180905-0014,"org.eclipse.mylyn.java.ui",1589754653775
started,bundle,org.eclipse.jst.ws.jaxws.ui,1.0.500.v201902162239,"org.eclipse.jst.ws.jaxws.ui",1589754653784
deactivated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1589754656066
activated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1589754657232
deactivated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1589754664690
activated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1589754665807
deactivated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1589754673474
activated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1589754674497
deactivated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1589754683276
activated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1589757102244
deactivated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1589757103098
activated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1589757125894
deactivated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1589757126363
activated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1589757721840
deactivated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1589757722747
activated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1589762369016
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1589959687784
started,bundle,org.eclipse.osgi,3.15.200.v20200214-1600,"org.eclipse.osgi",1589959687786
started,bundle,org.eclipse.equinox.simpleconfigurator,1.3.500.v20200211-1505,"org.eclipse.equinox.simpleconfigurator",1589959687787
started,bundle,com.ibm.icu,64.2.0.v20190507-1337,"com.ibm.icu",1589959687790
started,bundle,org.apache.felix.gogo.command,1.0.2.v20170914-1324,"org.apache.felix.gogo.command",1589959687791
started,bundle,org.apache.felix.gogo.runtime,1.1.0.v20180713-1646,"org.apache.felix.gogo.runtime",1589959687792
started,bundle,org.apache.felix.gogo.shell,1.1.0.v20180713-1646,"org.apache.felix.gogo.shell",1589959687792
started,bundle,org.apache.felix.scr,2.1.16.v20200110-1820,"org.apache.felix.scr",1589959687793
started,bundle,org.eclipse.buildship.core,3.1.3.v20191118-1057,"org.eclipse.buildship.core",1589959687794
started,bundle,org.eclipse.buildship.stsmigration,3.1.3.v20191118-1057,"org.eclipse.buildship.stsmigration",1589959687794
started,bundle,org.eclipse.buildship.ui,3.1.3.v20191118-1057,"org.eclipse.buildship.ui",1589959687795
started,bundle,org.eclipse.cft.server.verify.ui,1.0.1.v201805291812,"org.eclipse.cft.server.verify.ui",1589959687796
started,bundle,org.eclipse.compare.core,3.6.800.v20191213-2246,"org.eclipse.compare.core",1589959687796
started,bundle,org.eclipse.core.contenttype,3.7.600.v20200124-1609,"org.eclipse.core.contenttype",1589959687797
started,bundle,org.eclipse.core.expressions,3.6.700.v20200212-1751,"org.eclipse.core.expressions",1589959687798
started,bundle,org.eclipse.core.filebuffers,3.6.900.v20200117-0616,"org.eclipse.core.filebuffers",1589959687799
started,bundle,org.eclipse.core.filesystem,1.7.700.v20200110-1734,"org.eclipse.core.filesystem",1589959687800
started,bundle,org.eclipse.core.jobs,3.10.700.v20200106-1020,"org.eclipse.core.jobs",1589959687801
started,bundle,org.eclipse.core.net,1.3.800.v20200218-0937,"org.eclipse.core.net",1589959687802
started,bundle,org.eclipse.core.resources,3.13.700.v20200209-1624,"org.eclipse.core.resources",1589959687802
started,bundle,org.eclipse.core.runtime,3.17.100.v20200203-0917,"org.eclipse.core.runtime",1589959687803
started,bundle,org.eclipse.core.variables,3.4.800.v20200120-1101,"org.eclipse.core.variables",1589959687804
started,bundle,org.eclipse.debug.core,3.15.0.v20200224-0654,"org.eclipse.debug.core",1589959687807
started,bundle,org.eclipse.e4.core.contexts,1.8.400.v20191217-1710,"org.eclipse.e4.core.contexts",1589959687810
started,bundle,org.eclipse.e4.core.di,1.7.500.v20190916-2125,"org.eclipse.e4.core.di",1589959687810
started,bundle,org.eclipse.e4.core.di.extensions,0.15.500.v20200106-1259,"org.eclipse.e4.core.di.extensions",1589959687811
started,bundle,org.eclipse.e4.core.di.extensions.supplier,0.15.500.v20200106-1259,"org.eclipse.e4.core.di.extensions.supplier",1589959687812
started,bundle,org.eclipse.e4.core.services,2.2.200.v20200127-0814,"org.eclipse.e4.core.services",1589959687812
started,bundle,org.eclipse.e4.ui.bindings,0.12.800.v20191216-0805,"org.eclipse.e4.ui.bindings",1589959687812
started,bundle,org.eclipse.e4.ui.css.swt,0.13.900.v20200203-0840,"org.eclipse.e4.ui.css.swt",1589959687813
started,bundle,org.eclipse.e4.ui.css.swt.theme,0.12.600.v20200124-0005,"org.eclipse.e4.ui.css.swt.theme",1589959687814
started,bundle,org.eclipse.e4.ui.di,1.2.800.v20200128-0855,"org.eclipse.e4.ui.di",1589959687814
started,bundle,org.eclipse.e4.ui.model.workbench,2.1.700.v20200113-1422,"org.eclipse.e4.ui.model.workbench",1589959687815
started,bundle,org.eclipse.e4.ui.services,1.3.700.v20190930-1643,"org.eclipse.e4.ui.services",1589959687816
started,bundle,org.eclipse.e4.ui.workbench,1.11.200.v20200205-1503,"org.eclipse.e4.ui.workbench",1589959687816
started,bundle,org.eclipse.e4.ui.workbench.addons.swt,1.3.800.v20191212-1231,"org.eclipse.e4.ui.workbench.addons.swt",1589959687817
