what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.116.0.v20200203-1308,"org.eclipse.ui.edit.cut",1591163774645
executed,command,org.eclipse.ui,3.116.0.v20200203-1308,"org.eclipse.ui.edit.undo",1591163775797
executed,command,org.eclipse.ui,3.116.0.v20200203-1308,"org.eclipse.ui.edit.copy",1591163776725
executed,command,org.eclipse.ui.workbench.texteditor,3.14.100.v20200212-1049,"org.eclipse.ui.edit.text.goto.lineEnd",1591163779008
executed,command,org.eclipse.ui,3.116.0.v20200203-1308,"org.eclipse.ui.edit.paste",1591163780683
deactivated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1591163790601
activated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1591163791671
deactivated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1591163795115
activated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1591163799626
deactivated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1591163806564
activated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1591163808533
executed,command,org.eclipse.ui,3.116.0.v20200203-1308,"org.eclipse.ui.edit.copy",1591163814439
executed,command,org.eclipse.ui,3.116.0.v20200203-1308,"org.eclipse.ui.edit.paste",1591163816656
executed,command,org.eclipse.ui,3.116.0.v20200203-1308,"org.eclipse.ui.file.save",1591163818399
deactivated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1591163819370
activated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1591163823543
deactivated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1591163827264
activated,workbench,org.eclipse.ui.workbench,3.118.0.v20200222-0719,"",1591163830543
activated,view,org.eclipse.jdt.ui,3.21.0.v20200226-1531,"org.eclipse.jdt.ui.PackageExplorer",1591163832607
started,bundle,org.eclipse.ui.genericeditor,1.1.700.v20200211-1227,"org.eclipse.ui.genericeditor",1591163834518
started,bundle,org.eclipse.mylyn.context.ui,3.24.2.v20180905-0014,"org.eclipse.mylyn.context.ui",1591163836338
started,bundle,org.eclipse.jpt.common.utility,2.4.1.v201902121834,"org.eclipse.jpt.common.utility",1591163836628
started,bundle,org.eclipse.jpt.common.core,1.5.1.v201902121834,"org.eclipse.jpt.common.core",1591163836629
started,bundle,org.eclipse.jpt.jpa.core,3.6.0.v202002052252,"org.eclipse.jpt.jpa.core",1591163836630
started,bundle,org.eclipse.jst.common.project.facet.core,1.8.0.v201906031755,"org.eclipse.jst.common.project.facet.core",1591163836708
started,bundle,org.eclipse.jst.ws.jaxrs.core,1.0.850.v201903050508,"org.eclipse.jst.ws.jaxrs.core",1591163836724
started,bundle,org.eclipse.jpt.jpa.db,2.2.201.v201902121834,"org.eclipse.jpt.jpa.db",1591163836805
started,bundle,org.eclipse.datatools.connectivity,1.14.102.201911250848,"org.eclipse.datatools.connectivity",1591163836815
started,bundle,org.eclipse.wst.common.emf,1.2.600.v201903222010,"org.eclipse.wst.common.emf",1591163836868
started,bundle,org.eclipse.cft.server.ui,1.0.110.v201805291812,"org.eclipse.cft.server.ui",1591163837063
